shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
cfe9de1b-705e-47a5-bedc-f34e75ddde5f,40.6300683695119,-80.2265004948676,201,29409.96
84e0d285-ee8a-424b-a127-945b27d5f09c,40.7134488650232,-80.2977439938631,122,18623.43
3013fe2e-5c0b-4fb1-9008-bd65467b34f8,40.6195634972789,-80.2560369823001,275,27946.57
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6292087214713,-80.3099467045037,225,22373.52
077f3c3c-8a97-4037-a458-1a129b30ff11,40.6163354585371,-80.2640675165694,106,10920.79
7cfb534f-eb12-4123-af99-74005ff0d76c,40.7698570650731,-80.3222701145572,144,23827.8
b37ad0b1-5e56-423d-86a2-7b4dddb591b7,40.6719617946125,-80.2452048805478,90,12632.04
b37ad0b1-5e56-423d-86a2-7b4dddb591b7,40.5052638355055,-80.0856174579631,219,39240.71
c07f27c5-dbc5-4654-a131-0d863f52898e,40.4418818916012,-80.0019258261875,303,69386.71
077f3c3c-8a97-4037-a458-1a129b30ff11,40.643293001848,-80.3108734077736,246,25366.51
0b6ae324-bf09-436e-a447-c77540c81762,40.592813825179,-80.2315095205015,222,20501.94
b42c23ec-ba3d-4216-88c2-e37983d818ed,40.5916148776778,-80.2300141888865,8,1140.98
cfe9de1b-705e-47a5-bedc-f34e75ddde5f,40.5933314915497,-80.2288769321964,218,33678.97
bb515512-e193-4fd8-8049-46b29514e90e,40.6350492319494,-80.3176124583252,116,49766.83
137055c8-eb0c-4281-a919-b143a7787088,40.4492405324722,-80.0253589466428,192,39239.37
2ddb8593-0271-4b48-8dfd-d53e68375359,40.6512980551301,-80.2353866538636,182,36001.28
c3264727-6977-42da-9862-da70f03a7a15,40.7064563457046,-80.3223854495517,96,5919.84
cfe9de1b-705e-47a5-bedc-f34e75ddde5f,40.7015023053588,-80.2854527703198,126,19260.8
cfe9de1b-705e-47a5-bedc-f34e75ddde5f,40.5114624209083,-80.1011098981565,288,49425.4
cfe9de1b-705e-47a5-bedc-f34e75ddde5f,40.7746005519986,-80.3750600144303,2,545.34
0b6ae324-bf09-436e-a447-c77540c81762,40.6165714929444,-80.2582430993464,135,13256.56
2ddb8593-0271-4b48-8dfd-d53e68375359,40.7816520799191,-80.3823730577453,375,64269.17
