service_id,date,exception_type
4899afac-987f-4290-9efe-5ee8a7694760,20180825,1
4899afac-987f-4290-9efe-5ee8a7694760,20181103,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181216,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180926,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181018,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180911,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181205,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181121,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181218,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181105,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180815,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181014,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181019,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180912,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181223,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180827,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181106,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181008,1
4899afac-987f-4290-9efe-5ee8a7694760,20181020,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180913,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181206,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181219,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181107,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180816,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180828,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180914,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181009,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181022,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181108,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180829,1
4899afac-987f-4290-9efe-5ee8a7694760,20180915,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181207,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181220,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181109,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180817,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180927,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181221,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20180805,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181010,1
4899afac-987f-4290-9efe-5ee8a7694760,20181124,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181023,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180917,1
4899afac-987f-4290-9efe-5ee8a7694760,20181208,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181021,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180830,1
4899afac-987f-4290-9efe-5ee8a7694760,20181110,1
4899afac-987f-4290-9efe-5ee8a7694760,20180818,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180928,1
4899afac-987f-4290-9efe-5ee8a7694760,20181222,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20180812,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20180903,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181126,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181024,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180918,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181011,1
4899afac-987f-4290-9efe-5ee8a7694760,20180804,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180831,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181112,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181210,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181028,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20180819,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180820,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180806,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181025,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180919,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181122,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181127,1
4899afac-987f-4290-9efe-5ee8a7694760,20180901,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181113,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181012,1
4899afac-987f-4290-9efe-5ee8a7694760,20180929,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20180826,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181211,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180807,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181026,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180920,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180821,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181104,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180904,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20180902,1
186fcee5-bedd-44f0-9090-4771a1ef64cf,20181123,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181128,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181114,1
4899afac-987f-4290-9efe-5ee8a7694760,20181013,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180808,1
4899afac-987f-4290-9efe-5ee8a7694760,20181027,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180921,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181212,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181001,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180905,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20180909,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181111,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181115,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180822,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181029,1
4899afac-987f-4290-9efe-5ee8a7694760,20180922,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181015,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180906,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181116,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181213,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20180916,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181030,1
4899afac-987f-4290-9efe-5ee8a7694760,20181117,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180823,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180907,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180924,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181214,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20180923,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181031,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181016,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181119,1
4899afac-987f-4290-9efe-5ee8a7694760,20180908,1
4899afac-987f-4290-9efe-5ee8a7694760,20181215,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20180930,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181101,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180824,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180925,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180910,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181017,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181120,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181102,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181217,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181007,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181129,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180809,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181002,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181118,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181130,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181003,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180810,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181125,1
4899afac-987f-4290-9efe-5ee8a7694760,20181201,1
4899afac-987f-4290-9efe-5ee8a7694760,20180811,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181004,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181202,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181203,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180813,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181005,1
b0e00725-fa41-4c8d-b65a-8ee1302c1ad0,20181209,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20181204,1
55596e44-1c2c-4787-a88e-00a0677a75fb,20180814,1
